Index,FEN,Moves
184,8/b2r1p1k/5Qp1/1p5p/4p3/1P1q3P/5PP1/2B2RK1 b - - 13 38,d3b3 c1b2 b3b2 f6b2
185,r1bk3r/ppp1n2p/3pNQ2/8/2BpP2p/8/PPPq2PP/R5K1 b - - 2 21,d8d7 f6h8 d7c6 h8e8
186,8/2p4r/1p3k2/p2Pp1p1/P1P1RpP1/1P3P1r/4R1K1/8 w - - 7 46,e4e5 h3h2 g2f1 h2h1 f1f2 h7h2
187,r1qr3k/pp3pB1/1np1pb2/8/3P3P/2N2PR1/PP1Q2P1/2KR4 b - - 0 22,f6g7 d2g5 d8g8 g5h5 g7h6 h5h6
188,r4rk1/1p4p1/p1p1n1Pp/q3p3/4P3/2N1QP2/PPP5/2KR3R w - - 0 21,h1h6 g7h6 e3h6 a5c7
189,3r2k1/pQ3ppp/4R1n1/2q5/2P5/2B3P1/P4PBP/6K1 b - - 0 24,f7e6 b7g7
190,4r1k1/ppqb3p/6B1/3pb2Q/8/2P5/PP1B2PP/5RK1 b - - 0 20,h7g6 h5g6 e5g7 f1f7 c7c5 g1h1 c5f8 f7f8
191,5rk1/ppq3pR/4p1r1/3p4/8/2P4Q/PP3RPP/6K1 b - - 0 22,c7c5 h7h8
192,5r1k/pb3Qpp/2p5/5p2/3P4/8/PPP2PPP/4R1K1 b - - 0 21,f8f7 e1e8 f7f8 e8f8
193,2r5/1p2k1pp/4p3/1N3p2/5P2/P2nP3/1R4PP/6K1 w - - 0 24,b2d2 c8c1 d2d1 c1d1
194,7k/1q5p/3Q2p1/8/P3p3/1p2B2P/1br3P1/R5K1 b - - 0 32,b7f7 a1f1 f7f1 g1f1
195,1rbk3r/3qp1b1/p3p1Bp/1N1P2p1/8/P5P1/1P2Q1P1/R3K2R w KQ - 2 23,d5e6 d7b5 e2d2 d8c7 a1c1 c7b7 g6e4 b7a7
196,8/7p/6pK/5p2/4p3/1k4P1/5P1P/8 w - - 2 44,h6h7 g6g5 g3g4 f5f4
197,8/8/8/2Pk4/pK4p1/3N4/5P2/3b4 b - - 7 59,d1e2 d3f4 d5c6 f4e2
198,1r3k2/1p1q1p2/p2p1np1/2pP2bp/2P1P1n1/1PQ3P1/P3N1K1/3N1R1R b - - 11 28,f6e4 c3h8 f8e7 h8b8
199,2rr2k1/5p2/4p2p/4N1pQ/1p3P2/4P3/np3P1P/2q2BRK b - - 1 32,c8c7 h5h6 b2b1q h6g5
200,2r2rk1/3p1ppp/p3p3/1p2q3/6P1/3Q4/PP5P/1K2RR2 b - - 0 22,e5h2 f1h1 h2c2 d3c2 c8c2 b1c2
201,8/r4k2/7R/5PK1/1n6/8/8/8 b - - 3 56,b4d5 h6h7 f7f8 h7a7
202,r7/4kpRp/2p2p1P/p1P1n3/Pp6/1B6/5PP1/6K1 b - - 2 35,a8h8 f2f4 e5d7 g7f7
203,4r3/p1R3p1/4r2p/3k1n2/3p4/P5B1/1P4PP/4R1K1 w - - 2 28,c7a7 e6e1 g3e1 e8e1
204,2k2r2/pp5p/3p4/3Nb1p1/8/1P1P3P/P1Pn4/1K1R1R2 w - - 3 28,d1d2 f8f1 d2d1 f1d1
205,5rk1/p6p/2r1pBp1/4P3/2b5/3p4/P4PPP/1R2R1K1 w - - 0 27,b1b7 f8f6 e5f6 d3d2 e1d1 c4e2
206,8/8/6p1/PR3p2/1P3k2/7P/r5P1/7K w - - 1 39,h3h4 f4g3 b5d5 a2a1 d5d1 a1d1
207,3R4/3P4/8/5p2/5kPp/8/3r1KP1/8 w - - 1 64,f2g1 f4g3 g1f1 f5g4
208,R7/1p3kp1/2pK3p/3p1PP1/1r1B2nP/8/1P6/8 b - - 2 39,b4d4 g5g6 f7f6 a8f8
209,5rk1/5ppp/1R6/3Qp3/2B1P3/2q3P1/3R1PKP/1r6 b - - 0 27,b1b6 d5f7 f8f7 d2d8
210,1r4k1/4Ppbp/p5p1/2q5/p2n4/P2Q2B1/r2N1PPP/3KR2R b - - 0 27,g7h6 e7e8q b8e8 e1e8
211,3r2k1/1b2qpb1/pp4p1/3rp3/3R2P1/2P2NBP/PP2Q2K/3R4 b - - 0 33,e7d7 d4d5 b7d5 c3c4
212,6k1/6Bp/6pP/3q1p2/p2PnQ2/2r5/P5PK/4R3 b - - 1 39,d5d6 e1e4 d6f4 e4f4
213,2k4r/pp6/3p4/2pBb3/4P2B/2P2bp1/PP1R4/R5K1 w - - 1 32,d2g2 h8h4 a1f1 f3g2
214,8/8/1n4kP/1P3p2/3P1K2/2p1N3/8/8 w - - 4 49,f4e5 b6c4 e3c4 c3c2
215,kr6/1pR4p/p4R2/n2r4/P3p3/4B3/6PP/6K1 b - - 0 38,d5d3 f6a6 b7a6 c7a7
216,2r3k1/3q1pp1/1rp5/2Rn2Np/1p1N3n/1Q2P3/5PP1/2R3K1 w - - 0 33,c5d5 c6d5 c1c8 d7c8
217,5k2/1p3pp1/p3pb2/r7/2P2B2/1P6/1PR1K1PP/8 b - - 0 33,f6e5 b3b4 a5a1 f4e5
218,1k6/1p1q4/P2p3p/1NpPpn1Q/5b2/2P3r1/1P2B1P1/R6K b - - 3 28,g3g7 a6a7 b8a8 b5c7 d7c7 h5e8 c7b8 a7b8q
219,5r1k/7p/p2pB3/3Pb1p1/4p2q/1P2B3/P1Q2P2/2R3K1 w - - 0 31,f2f4 h4g3 g1h1 g3f3 c2g2 f3e3
220,r5k1/pbp2ppp/6q1/2pp4/3B3r/2P1R1P1/PP2QP1P/R5K1 b - - 1 20,c5d4 e3e8 a8e8 e2e8
221,5k2/8/4p3/3p2p1/p1pQ2P1/P1P2q2/1PB5/7K w - - 0 42,h1h2 f3e2 h2g3 e2c2
222,2k5/1p4p1/p4b2/3p4/3P4/2PQN3/PP3q2/1K6 w - - 0 37,e3d5 f2g1 b1c2 g1g2
223,4R3/1p4k1/1q1N1bpp/3B4/5p1P/p4P2/3RK1P1/8 w - - 4 42,d6e4 b6b5 d2d3 b5e8
224,2r3k1/2r1q1p1/p3p1Q1/1p1p4/nP1P4/2P4R/P4PPP/2R3K1 b - - 0 30,e7f6 g6h7 g8f7 h3f3 f6f3 g2f3
225,6k1/1N4pp/p7/4bp2/P1P5/1r6/6PP/2R3K1 w - - 1 33,b7c5 e5d4 g1f1 d4c5
226,8/1p6/p1b5/5k1p/1PB1p2P/P3P1K1/8/8 b - - 2 35,f5e5 c4f7 c6d7 f7h5
227,3r3k/p5pp/2r2q2/2p4Q/8/8/P5PP/3R1R1K b - - 5 29,d8d1 h5e8 f6f8 e8f8
228,r3r1k1/6b1/p2Nn2p/1P1Qp3/6nq/2P5/1PB2PP1/R1B1R1K1 w - - 1 30,g2g3 h4h2 g1f1 h2f2
229,8/8/5pp1/5k1p/5P1P/4R1P1/2r5/5K2 w - - 0 43,e3e2 c2e2 f1e2 f5g4 e2f2 g4h3
230,6k1/3R3p/1p5q/3P4/3QP1pN/6P1/PPr3B1/5rK1 w - - 0 25,g1f1 h6c1 d4d1 c1d1
231,r1b3k1/pp3Rpp/3p4/2pN4/2P4b/5Q1P/PPP3P1/4qNK1 b - - 0 21,h4f6 f7f6 g7f6 f3f6
232,8/8/2B5/4pK2/3k1pPp/5n1P/8/8 b - - 3 57,f3g1 g4g5 g1e2 g5g6
233,1R6/3k1Q2/p2b1p2/2r1p3/3n4/P6P/5PP1/4qBK1 b - - 1 40,d7c6 f7b7
234,1k5r/ppp5/2p5/3n4/5pQ1/3P1P1r/PPP2K2/5R2 w - - 2 26,f1g1 h3h2 g1g2 d5e3
235,1k6/1Pp1rqp1/p1R5/6pp/Q6P/1P6/P4PBK/3r4 b - - 5 34,e7e6 a4c4 e6c6 c4f7
236,8/6rk/6p1/1R3b1p/2pQ1P2/2P3P1/qP4PK/8 b - - 0 36,f5d3 d4d8 a2a7 b5b8 a7b8 d8b8
237,r2q1rk1/1bb2ppp/p1n1p3/4P3/Np1P4/1B2NP2/1P4PP/2RQ1RK1 b - - 0 20,d8d4 d1d4 c6d4 c1c7 d4b3 c7b7
238,3k1rr1/pR1b3Q/2pqp3/8/N2P4/8/5PB1/R4K2 w - - 5 34,b7a7 f8f2 f1e1 d6b4 a4c3 b4c3 e1f2 c3d4 f2f1 g8f8
239,3r4/2k2p1p/pp2pp2/2p5/3nN3/6P1/PPP2PRP/2K5 w - - 2 23,e4f6 d4e2 c1b1 d8d1
240,6k1/6pp/1PP5/4b3/3p4/Br5P/4prP1/R5RK w - - 1 30,c6c7 b3h3 g2h3 f2h2
241,2B4k/p1p3pb/8/5pnr/8/2P2R2/PPP2K2/6R1 w - - 6 34,c8f5 g5f3 f5g4 f3g1
242,6k1/1p3pp1/pB2qb1p/2P5/1P6/6QP/4r1P1/3R3K b - - 4 33,f6e5 d1d8 g8h7 g3d3 e6g6 d3e2
243,r1q1r1k1/1p3pp1/n1p4p/p1bpp2P/P3P3/2P2P2/1P1QBP2/R1BK3R b - - 3 23,c5f2 e2a6 b7a6 d2f2
244,5QR1/5p1p/1b3qp1/p6k/P2P4/8/1P2rPPP/5RK1 w - - 7 32,g8h8 f6f2 f1f2 e2e1 f2f1 b6d4 g1h1 e1f1
245,1k3r2/q5r1/2Qp3p/N2Bp3/4P1p1/P7/1PP2PPP/R5K1 w - - 12 35,a5c4 a7f2 g1h1 f2f1 a1f1 f8f1
246,5rk1/1bR3q1/pQ6/8/6r1/4R2P/P7/6K1 w - - 0 28,h3g4 g7g4 e3g3 g4g3
247,6rk/7p/R2N3P/1r6/1P5K/P7/8/8 b - - 4 50,b5d5 d6f7
248,8/8/8/p3b3/P1B2pKp/1Pk1p2P/6P1/8 w - - 8 50,g4h4 c3d2 h4g4 e3e2 c4e2 d2e2
249,8/5K1p/1p4pk/8/3brp2/5R2/8/8 b - - 5 50,g6g5 f3h3
250,r3k3/p1pbq3/2p2p2/4p1p1/2B3p1/2P4r/P1P2PQP/3RR1K1 b q - 3 20,e7c5 g2e4 f6f5 e4e5 c5e5 e1e5
251,3r4/p1pk1p1p/2pp1qr1/2b5/Q3P1b1/5NB1/P2N1PPP/R4RK1 w - - 2 16,g3h4 g4f3 d2f3 f6f3
252,1n3rk1/r3q1bp/pp2p1p1/2p1NnN1/4QP2/BPP5/P2R2PP/5RK1 b - - 2 21,h7h6 e5g6 e7f6 g6f8
253,k7/pp1r2p1/2n2q2/3b1P1B/1P5P/2P5/P4Q2/2KR2R1 w - - 1 32,c1c2 c6b4 c2b1 b4a2 f2c5 a2c3
254,8/1p6/7p/3k1pp1/1P5P/3K1P2/6P1/8 w - - 0 39,h4g5 h6g5 d3c3 d5e5 c3c4 e5f4 c4c5 f4g3
255,3kRr2/3n1B1p/2pP4/p1n5/Ppp5/8/1P3PPP/4R1K1 b - - 8 32,f8e8 e1e8
256,r2n2k1/1bRq1rpp/1p6/3P4/p3Q3/B3P3/PP3PPP/3R2K1 b - - 0 20,d7c7 e4e8 f7f8 e8f8
257,r4rk1/p1p1R1pp/2p2p2/5P2/6Q1/1P5P/q5PK/8 b - - 1 30,a2b3 g4g7
258,6k1/5p2/4p2p/3pPP2/1R5P/7r/2B5/2b2K2 b - - 0 46,h3c3 b4b8 g8h7 f5e6 c3c2 e6e7
259,3r1q1k/pppb2pp/2np4/6N1/5B2/1Q4P1/PP4PP/4R2K b - - 11 24,b7b6 g5f7 f8f7 b3f7
260,2k1r2r/1p2P3/p1b1p3/3p1npp/5q2/1N3N1Q/PP3PPP/2R2RK1 w - - 1 22,f3d4 f5d4 b3d4 f4d4 h3e6 c8c7
261,r7/7R/P3k3/4p2p/3b2p1/3K4/8/5R2 b - - 7 55,a8a6 h7h6 e6d5 h6a6
262,8/n7/P7/3k4/PK6/7P/5PP1/8 w - - 0 53,b4a5 d5c5 f2f3 a7c6
263,8/2p1b3/q1Pp2k1/3Pp3/4Pr2/1Q3PK1/3N2P1/7R w - - 1 47,h1e1 e7h4 g3h2 h4e1
264,3r1rk1/1Q3ppp/1q2pb2/8/1P1N4/4P1P1/3B1PBP/R5K1 b - - 0 23,b6b7 g2b7 f6d4 e3d4
265,1k5r/n2r2pp/5p2/ppN5/5P2/8/2R3PP/1R4K1 b - - 3 28,d7c7 c5a6 b8b7 a6c7
266,6k1/pp3rpp/4Nb2/4p3/1B1r4/6PK/PP5P/2R5 b - - 0 28,d4b4 c1c8 f6d8 c8d8 f7f8 d8f8
267,6rk/1pp1R1p1/6Bp/2b4P/8/pP3PK1/P1P5/8 w - - 5 32,e7c7 c5d6 f3f4 d6c7
268,2r3k1/1p1q1ppp/4p3/Q7/3P4/P1B5/1Pr2PPP/R5K1 b - - 0 22,d7d4 c3d4 c2c1 a5e1
269,2k3r1/pp5p/4p3/2p2p2/2P5/P4P1q/1PQ1RR1b/7K w - - 0 32,f2h2 h3f1
270,8/8/1pr1p1kp/pbPp2pN/3Pp1P1/1P2K3/P6P/2R5 b - - 0 29,e6e5 c5b6 c6c1 b6b7 c1e1 e3d2
271,1k1r1r2/pp4p1/6q1/2Qp4/5bP1/2P4p/PPN3NP/R4R1K w - - 0 30,g2f4 g6e4 h1g1 f8f4
272,r1bqkb1r/ppp1n1p1/7p/3Pp1N1/2P5/8/PP3PPP/RNBQK2R w KQkq - 0 11,d1h5 g7g6 h5e2 h6g5
273,2kr1b1R/p5p1/8/3P1p2/8/4B3/PPPK1P2/8 w - - 1 25,c2c4 f8b4 d2d3 d8h8
274,r1b5/p4pkp/3p2p1/2pPr3/2P5/1P1B4/R4PPP/R5K1 w - - 0 24,a2a7 a8a7 a1a7 e5e1 d3f1 c8f5
275,r4q1k/2bn2p1/2p3pp/1pP5/1P1B2P1/1Q1P1r1P/5PB1/4RRK1 w - - 0 27,g2f3 f8f4 d4g7 h8h7 e1e5 d7e5 g7e5 c7e5 f1e1 f4f3
276,1k5r/ppp1R2p/3r1p2/5Q2/3p4/2qP4/2P2PPP/2K1R3 b - - 5 26,d6a6 e7e8 h8e8 e1e8
277,3r2k1/2q1bppp/b3n3/p2N4/2p1P3/P3QN2/1PP2PPP/4R1K1 b - - 1 22,e7c5 d5c7 c5e3 c7e6 e3f2 g1f2
278,3k4/ppp2p1r/4p2P/5n2/3Pp1N1/2P2K2/P1P3P1/7R w - - 0 30,f3e4 f5g3 e4f4 g3h1
279,2kr4/p1pr1pp1/1p4p1/1PP1P3/3B1PP1/PQ2Pn1P/2KRR3/5q2 w - - 1 30,c5b6 d7d4 e3d4 f3d4 c2b2 d4b3
280,2k1r2r/Qpq5/3bp3/1P1P4/5pp1/2P5/1B2RPP1/R5K1 w - - 1 28,e2e6 c7h7 a7a8 d6b8 e6c6 b7c6
281,3r1r2/p5kp/1p4pP/2p5/2PbBQ2/2q5/P1P1K3/5R2 b - - 0 34,g7h8 f4f8 d8f8 f1f8
282,r6k/6bp/p7/2Q5/8/5P2/4bKPP/8 b - - 2 37,e2d3 c5d5 a8f8 d5d3
283,2r1r2k/ppq3pp/3b1p2/3Q3R/3P4/4B3/PP3PPP/R5K1 w - - 1 20,d5f5 c7c1 a1c1 c8c1 e3c1 e8e1
284,1r2r3/p2k3p/2bP1q1P/1p2ppp1/1P6/1KPB4/P6Q/3R1R2 b - - 1 38,e8f8 d3f5 f6f5 f1f5
285,3rr1k1/pp1q1pp1/1n1P1b1p/1Np5/8/1Q3N1P/PP3PP1/3R1RK1 b - - 2 20,a7a6 b5c7 d7c6 c7e8
286,6k1/6b1/p1r1p2p/1pN4r/3P3q/2P2Q2/P4PP1/1R2R1K1 w - - 2 31,f3c6 h4h1
287,r4rk1/pppq2b1/2np3p/4p2b/B5p1/2PPQ2P/PP1N1P1B/R3NRK1 w - - 0 21,h3g4 d7g4 g1h1 g4a4
288,1n6/1P6/5pp1/8/2k3PP/4P3/3K4/8 b - - 0 51,c4c5 h4h5 g6h5 g4h5 c5d6 h5h6
289,7k/pp5p/4r1pP/5pP1/3Q1n2/P1P5/KP6/5q2 b - - 1 35,h8g8 d4g7
290,8/8/3p2N1/3Pp1n1/4Pp1p/3k1P1P/6K1/8 w - - 8 57,g6h4 d3e2 h4f5 g5f3
291,1r4k1/p4ppp/4p3/p5n1/4P3/1P1N1PPq/QB3b1P/R5K1 w - - 0 30,d3f2 g5f3 g1h1 h3h2
292,8/8/8/8/8/4K3/1k3Q2/1q6 b - - 5 53,b2c1 f2d2
293,8/p3Q2p/6p1/4p1k1/5q2/8/Pr4PP/6K1 b - - 1 36,f4f6 h2h4 g5f5 g2g4 f5g4 e7f6
294,5bk1/5ppp/8/Q7/3p4/8/P1K1q2P/2R5 w - - 2 33,a5d2 d4d3 c2c3 f8b4
295,5q1k/2r3p1/1p2p2b/3p2NQ/3P4/1p6/5R2/6K1 b - - 1 38,f8b4 h5e8 b4f8 f2f8
296,1k1r4/1p3Qp1/p2q3p/3N4/1b6/8/PP3PPP/2R3K1 w - - 4 22,d5b4 d6d1 c1d1 d8d1
297,4k3/1R6/6p1/4Np1p/7P/2r3PK/5b2/8 w - - 11 47,e5g6 c3g3 h3h2 g3g6
298,r6r/4kppp/2pNpnq1/p1P1n3/8/B3P3/PP2QPPP/3R1RK1 w - - 7 20,e2d2 e5f3 g1h1 f3d2
299,8/5k2/8/1p1p2pN/1PpP1nP1/2P1KP2/8/8 b - - 10 58,f4h5 g4h5 f7g7 f3f4
300,8/1kp5/4n3/3pN3/r2P3R/2K4P/8/8 w - - 5 48,e5f3 a4a3 c3c2 a3f3
301,5r1k/1pp3p1/7p/pP1N4/P3P3/2PP3P/3BnbPK/R7 w - - 2 27,d5c7 f2g3 h2h1 g3c7
302,8/6p1/8/pp2k1p1/2p2p2/2P1KPPP/PP6/8 w - - 0 37,e3f2 f4g3 f2g3 e5f5
303,8/8/6RP/2p5/p1k1pP2/4P3/np1K4/8 w - - 0 48,g6b6 a2b4 b6b4 c4b4 d2c2 b4a3 h6h7 a3a2
304,3n2k1/6p1/pp3p1p/8/2r1NR1P/6P1/1PP5/1K6 b - - 1 32,d8e6 e4f6 g7f6 f4c4
305,r4rk1/ppp3pp/4p3/2P4P/1nNP2q1/P3QP2/1Pb2K2/R4B1R b - - 0 22,c2e4 c4e5 b4d5 e5g4 d5e3 f2e3
306,6k1/5p1p/4pbp1/p2p4/2rP1P2/P3B1P1/1P2R1KP/8 b - - 0 30,f6d4 b2b3 c4c2 e2c2
307,6r1/pp1qbpk1/8/2pPp1r1/2P1Pp2/P1N2Qp1/3B2K1/R6R w - - 0 31,h1h3 d7h3 g2h3 g3g2
308,3r3r/q4pk1/p4N2/1p2PQp1/P4n2/3p1P1P/1P4P1/3RR1K1 w - - 0 32,g1h2 h8h3 f5h3 f4h3
309,3r4/7p/p3nkp1/1b6/4P2P/1B2B3/P4KP1/8 b - - 1 38,e6d4 e3g5 f6e5 g5d8
310,5r1k/ppQ3p1/6qp/5r2/3Pp1b1/2P5/P2B1PPP/R4R1K w - - 5 22,c7b7 f5f2 f1f2 f8f2
311,1r1q1rk1/1b4b1/4p1pp/3pP3/p2B2P1/3B3Q/PPP5/2KR3R w - - 0 23,d3g6 d8g5 c1b1 g5g6
312,r5k1/5pp1/2p5/P1N4p/2Pp1n2/1P3P2/5P1P/3R2K1 w - - 1 26,d1d4 f4e2 g1f1 e2d4
313,3r1rk1/p1p2pbp/1p4p1/7n/4P3/1P2BP1q/P1B3QP/3R1R1K b - - 6 23,h3h4 e3g5 h5g3 g2g3
314,8/6P1/5k1K/8/8/3p4/PR6/6r1 w - - 1 49,b2d2 g1h1 d2h2 h1h2
315,1k2r3/p2r1R2/2Q5/1p5p/P1P3p1/8/6PP/7K w - - 2 44,c6d7 e8e1 f7f1 e1f1
316,4r1k1/3b1pp1/1B3q1p/r7/P1p1Q3/2P4P/5PP1/R4RK1 w - - 1 27,b6d4 e8e4 d4f6 g7f6
317,8/6pk/7p/Q7/6P1/3q3K/1P5P/8 w - - 1 45,h3h4 g7g5 a5g5 h6g5
318,8/8/8/P6p/8/2RnkN2/r7/3K4 w - - 1 60,f3e1 a2d2
319,2rr2k1/1pq2pp1/1B2pnp1/1Q1p4/8/2P2B2/PP4Pb/3RR2K b - - 1 32,c7d7 b5d7 f6d7 b6d8
320,5rk1/npp3p1/p3pr1p/2b5/3NR3/4B2P/PPP2PP1/R5K1 w - - 5 22,e4e6 c5d4 e6f6 d4f6 e3a7 b7b6
321,6k1/5pp1/4p2p/1p1bPP2/1P1P1KP1/1r6/3B1R1P/8 w - - 0 37,f5f6 g7g5
322,1k4r1/pp3p2/3qp3/2N5/1P1bp3/P3P3/5P2/2RR1K2 b - - 1 27,d6e5 c5d7 b8a8 d7e5
323,3r1k2/5p2/Np3P1p/1P2pR2/2p1N3/b1P1n3/P5PP/6K1 w - - 0 32,f5e5 d8d1 g1f2 e3g4 f2e2 d1d3
324,1r4k1/p5pp/5p2/2Rb4/1P4P1/P2r4/3P3P/3B1RK1 b - - 3 34,d3d2 c5d5 d2d5 d1b3 g8f8 b3d5
325,8/8/1KpB4/Pb6/1P5p/5k2/8/8 b - - 3 55,f3g2 a5a6 g2f3 a6a7
326,r4rk1/ppp3pp/1b1p4/3P2q1/4B3/2P3P1/PP2QPK1/R4R2 w - - 0 20,f1h1 f8f2 e2f2 b6f2
327,8/7R/B2k4/2pnp3/P7/3KP3/1r6/8 w - - 1 43,a6c4 e5e4 d3e4 d5f6
328,5rk1/2pp1q1p/n5p1/pp1PP3/3PB1PP/P2Q1p2/5P2/R5K1 w - - 0 25,d3b5 f7f4 b5d7 f4e4
329,3qr1k1/p4p1p/6p1/3pQ3/8/1P3P2/P5PP/3R2K1 w - - 2 26,e5d5 e8e1 d1e1 d8d5
330,3q1rk1/4pp1p/p4Pp1/4p1P1/b1PpP2Q/3n3P/Pr2N1B1/R4RK1 b - - 1 22,b2e2 h4h6 e7f6 g5f6 d8f6 f1f6
331,r4r2/1ppb1p2/p2p2pk/5P2/4P3/2PBB1R1/PKP2P1q/8 b - - 4 26,h6h5 d3e2 h5h4 e3g5
332,6k1/5pp1/2p4p/1pP5/qP2P3/5P2/1QKR2P1/4r3 w - - 11 42,b2b3 e1c1 c2c1 a4b3
333,2r5/8/8/pNp1r2p/3kNppP/1P1P4/2R2K2/8 b - - 2 42,d4d3 c2d2 d3e4 b5d6
334,8/8/8/P1K1p3/5k1p/5b1B/5P2/8 w - - 3 46,h3f1 f3a8 c5d6 e5e4 f1g2 f4g4 a5a6 h4h3 g2h1 e4e3 h1a8 e3f2 a8f3 g4g3 a6a7 f2f1q a7a8q f1f3
335,5r1k/Q6p/1pb3p1/4q3/4p3/1BP2p1P/PP4P1/5RK1 b - - 0 30,f3g2 f1f8
336,2kr4/1p4pp/p1p1b3/Q3Bq2/8/4PB2/1PP2PPP/1K6 b - - 2 24,g7g5 a5c7
337,6Q1/7K/2k5/3r4/8/8/8/8 w - - 5 82,h7h8 d5h5 g8h7 h5h7
338,r2q1r1k/1pp3p1/1b2b2p/3n4/pP6/P1P2N1P/1BB2PP1/R2QK2R w KQ - 0 20,d1d3 e6f5 e1c1 f5d3
339,2br3k/5p1p/ppn2Np1/2b1q1P1/2P1p2N/P7/1PQ1B1K1/R4R2 w - - 6 27,c2c1 c5d6 c1f4 e5f4 f1f4 d6f4
340,8/2k4p/p2p2p1/2pP1p2/2P4P/3K4/P2R1PP1/4r3 w - - 0 28,d2e2 e1e2 d3e2 c7b6 e2f3 b6a5 a2a3 a5a4
341,3r1br1/Qpqk1p2/p1p1p2p/3nP3/8/2P1NP1N/PP6/1K1R3R b - - 3 25,f8e7 c3c4 b7b6 a7c7 d7c7 c4d5
342,8/2p5/p1n5/1pP1p2k/1P1p4/P2P3P/5P2/R4KRq b - - 9 34,h1h3 f1e2 e5e4 g1h1 e4d3 e2d2
343,6k1/R4p1p/6P1/3p4/8/2b5/1r2rBPP/5RK1 b - - 0 26,e2f2 g6f7 g8f8 a7a8
344,rn4k1/pp1q1r2/2pp2B1/3P4/2PB2b1/8/P2K1PP1/7R b - - 1 21,c6d5 h1h8
345,8/pp3Q1p/1n2B1pk/8/6Pq/7P/PPP2P2/2K5 w - - 10 31,f2f4 h4e1
346,r2r2k1/p4ppp/1p6/N1p1n3/4n3/P3P3/1P2BPPP/1R1R2K1 w - - 0 20,a5c4 e5c4 e2c4 e4d2
347,6k1/pp1n3p/2p1bppb/2q1p3/2P1P3/1PQN1PPP/PB4BK/8 b - - 5 25,c5e3 b2c1 e3d4 c3d4 e5d4 c1h6
348,5rk1/Q4p2/5p1p/2q5/8/8/P1r2PPP/3RR1K1 w - - 4 23,a7d7 c5f2 g1h1 f2g2
349,5k2/1p6/8/4p2B/1R2Pp1p/3r1KpP/8/8 w - - 1 50,f3e2 d3e3 e2f1 f4f3 h5f3 e3f3
350,r5k1/1p2pp2/p2p3B/3P1P2/2P1P3/3p3Q/Pq6/R4K2 w - - 0 29,h3g4 g8h7 a1e1 h7h6
351,2kr2r1/1p1q3p/p1nb4/2p1p3/2N1R3/3P1QP1/PPP5/R1B3K1 b - - 4 22,d8f8 f3f8 g8f8 c4b6 c8c7 b6d7
352,8/7p/3k2p1/p5P1/P2K4/8/8/8 b - - 4 47,d6c6 d4c4 c6d6 c4b5
353,2rr4/4kp2/p3p2q/1p3nNP/3PQP2/P1N5/1P3K2/6R1 b - - 0 34,d8d4 e4b7 d4d7 b7c8
354,r2qkb1r/p2p2pb/1p1PpN2/2p1Pp2/2P2P1P/4K3/PP2B1P1/3Q3R b kq - 2 21,g7f6 e2h5 h7g6 h5g6
355,5rk1/p3Rp1p/5pp1/np1q4/r2P4/2P2N2/PQ3PPP/2R3K1 w - - 4 22,e7a7 a5c4 a7a4 c4b2
356,7K/8/8/5p2/4kP2/8/6P1/8 w - - 1 62,g2g3 e4f3 h8g7 f3g3 g7f6 g3f4
357,6k1/5p1p/B2bp2q/5p2/6rP/1P4P1/1Q3P2/5R1K w - - 3 34,f1d1 g4h4 g3h4 h6h4 h1g2 h4g4 g2f1 g4d1
358,1Qbk1b1r/4rpp1/p1BP3p/8/3q4/6P1/1PP3PP/1K5R b - - 0 33,e7d7 c6d7 d4c5 d7c8
359,r1b5/pppqNkp1/3p3p/6rn/1PP2p1N/P5P1/4Q2P/4RRK1 b - - 3 22,g5e5 e2h5 e5h5 f1f4 f7e8 e7g6
360,1r3bk1/5p2/3P1qRP/r1n1p3/ppB5/P2Q1P2/1PP5/1K6 b - - 0 35,g8h7 g6g7 h7h6 d3h7
361,5r2/R2R1pk1/P7/5pp1/8/1KP5/5r2/8 b - - 0 44,g5g4 d7f7 f8f7 a7f7 g7f7 a6a7
362,3r4/6pp/pNnNpk2/1p6/3pR3/8/PPP2PPK/8 w - - 4 32,e4f4 f6e5 d6f7 e5f4 f7d8 c6d8
363,6k1/4bpp1/1q2p3/p2pP1N1/3P3P/1P1Q2K1/5P2/8 b - - 0 33,b6b4 d3h7 g8f8 h7h8
364,1Q1k4/4r3/2q4p/2p1pp1P/2Bb4/1P6/P6K/4R3 b - - 4 43,d8d7 c4b5 c6b5 b8b5
365,8/P1R4p/5pk1/4q1p1/5P2/6KP/5QP1/7r b - - 0 51,e5c7 a7a8q c7c3 a8f3
366,r3r1k1/ppp2p1p/3p2pQ/8/1q6/3B1N2/nBK3PP/7R b - - 3 22,b4c5 c2b3 e8e5 f3e5 d6e5 h6h4
367,4r1k1/p4p2/1p3q1p/1P6/3b2p1/P3B1P1/Q1P2PKP/4R3 w - - 0 32,e3d4 f6f3 g2f1 f3h1
368,r5k1/1p3p2/2p1ppp1/3p4/2nP4/1QB2B1P/rPP2PP1/qNKR3R w - - 3 22,f3e2 a1b1 c1b1 a2a1
369,8/5pr1/1Q4k1/p2pp3/5Rp1/6P1/5PKP/3q4 b - - 1 33,g6h7 f4f5 d1f3 f5f3
